,participant,X,Y,Sound,Dust,TempEN,RH,Light,EDA_peaks,EDA_phase,EDA_label
12,31,681331.1385,247459.059,60.46558685,0.04900645,22.65008,34.28124,3426.124,28,0.28390994,1
13,31,681314.6565,247494.1366,61.06396713,0.06167742,22.5946,34.75344,9332.328,23,0.658033611,1
14,31,681296.8728,247523.1733,58.68744919,0.085238708,22.72376,35.20148,9369.22,31,0.268449075,1
15,31,681281.6004,247550.8547,57.18569473,0.060670966,22.99776,34.57952,8418.112,14,0.095054096,1
16,31,681275.9195,247569.4572,57.07105255,0.048103225,23.52152,34.46388,8626.572,26,0.546213575,1
17,31,681271.2974,247571.4323,61.14061111,0.052361288,23.76008,33.54908,4059.356,11,0.071366626,1
18,31,681284.618,247587.8491,59.8202774,0.052309677,24.00968,32.5738,1287.112,20,0.162700914,1
19,31,681318.9177,247587.3003,54.82500015,0.048825806,24.12116,32.06512,1175.776,27,0.631199412,1
20,31,681322.2124,247584.8066,60.49250092,0.086890321,24.03644,31.72636,1501.856,1,0.041683514,1
21,31,681332.9776,247564.4949,61.85614014,0.0472,23.48788,32.6262,3450.404,2,0.042610633,1
22,31,681357.9566,247539.5414,59.17516861,0.047638709,23.3434,33.27524,1840.56,0,0.033673815,0
23,31,681383.7793,247522.8463,58.6415657,0.048232258,22.9796,34.48496,1547.904,10,0.406224294,1
24,31,681405.1689,247496.1944,60.96883896,0.049651612,22.657,35.09052,4099.068,14,1.734499843,1
25,31,681430.3656,247477.4339,59.54232697,0.0528,22.723,35.47808,3109.828,17,2.060371284,1
26,31,681453.283,247458.7348,59.39013016,0.048258063,22.73156,35.49616,3778.048,21,1.653638093,1
27,31,681458.1858,247463.8244,57.41052597,0.047974192,22.93928,36.52296,3820.932,15,1.653638093,1
28,31,681462.6674,247461.0876,62.5589743,0.051690322,23.37048,35.28248,4568.648,24,1.280410515,1
29,31,681479.5769,247438.0252,59.14844788,0.0472,23.0618,35.05328,5115.456,23,1.819758602,1
30,31,681477.0039,247415.4733,61.1570845,0.049780644,23.12452,35.48248,4802.62,24,1.22534516,1
31,31,681498.7747,247390.4578,61.63350693,0.05127742,23.34048,34.28204,2416.064,29,0.76351087,1
32,31,681511.4592,247378.957,58.48033524,0.048412903,23.14272,34.68988,2154.636,21,0.540998404,1
33,31,681514.65,247379.4642,60.39406189,0.045187097,22.94984,34.91324,2019.656,24,2.270207196,1
34,31,681524.0415,247360.2458,60.007827,0.045729032,23.16768,34.74544,2131.3,19,1.848256937,1
35,31,681523.9174,247334.4845,60.31605927,0.048283871,22.92096,34.901,2323.664,21,2.342263397,1
36,31,681497.6568,247315.1835,58.12014236,0.059380643,22.42604,35.78888,1797.024,22,2.227145119,1
37,31,681498.5112,247306.1516,57.3039473,0.050606451,21.8364,37.26884,2391.452,22,2.125888386,1
38,31,681483.931,247293.442,60.88717972,0.044980645,22.2918,36.60932,4084.26,15,1.598330508,1
39,31,681458.0942,247264.3436,59.41079636,0.045058065,22.51972,36.11124,1963.844,19,1.57668633,1
40,31,681434.4024,247228.4735,59.60890732,0.048490322,22.44676,35.40008,7428.556,23,2.569497973,1
41,31,681433.4568,247220.3249,61.66084396,0.044954839,22.46116,35.29036,7761.568,15,1.249197592,1
42,31,681425.6305,247223.6644,63.72051315,0.047148386,22.63108,35.18628,7588.74,21,1.011329502,1
43,31,681407.2589,247245.91,58.74358994,0.047432257,22.96712,34.69712,7858.996,23,1.124623676,1
44,31,681409.354,247250.1085,60.30043442,0.046141936,23.35104,34.05404,8259.18,25,1.048014011,1
45,31,681396.1767,247260.8244,65.15164917,0.062167742,23.71972,33.64704,7692.504,27,1.09581358,1
46,31,681380.3341,247291.4443,64.27692261,0.069006452,23.95272,32.99284,6169.68,22,1.593306088,1
47,31,681359.7416,247297.5737,63.35238174,0.049212903,23.618,33.2296,2189.324,24,2.011594599,1
48,31,681336.7425,247285.5087,59.98569489,0.065987094,23.30408,33.9764,2717.224,25,1.667951764,1
49,31,681322.0993,247271.8535,58.22159256,0.043974194,23.42036,34.07268,2728.88,24,1.094025196,1
50,31,681315.5412,247265.3515,63.57472488,0.050116128,22.87968,34.46456,4614.992,21,1.274800843,1
51,31,681289.508,247242.2555,63.5379245,0.061496774,22.92864,34.4628,2415.74,16,1.429176584,1
52,31,681263.1397,247223.3804,61.01484467,0.064825806,22.96896,34.30192,2509.728,24,1.278714402,1
53,31,681235.0215,247194.3815,63.60774582,0.068903225,23.04672,33.7866,3575.604,24,1.930865945,1
54,31,681232.2918,247189.6184,63.54561401,0.048929032,22.9872,33.83164,5713.664,23,1.27720834,1
55,31,681258.1845,247179.8362,64.99816757,0.057058066,23.18208,34.26328,6509.94,27,1.448941883,1
56,31,681290.8184,247183.4156,62.88328537,0.046503225,23.45716,33.42316,5716.2,26,1.691663044,1
57,31,681290.9543,247179.9334,62.25282486,0.065187096,23.78308,33.08856,6669.508,26,2.350994574,1
58,31,681312.764,247179.621,64.80769363,0.050038708,23.75236,33.07496,7179.108,27,2.350994574,1
59,31,681345.6216,247191.6729,64.77179611,0.049135483,23.66116,33.35112,5382.236,24,1.610478222,1
60,31,681376.1905,247195.2615,67.29487213,0.062322581,23.6746,33.32828,5186.412,26,2.918718004,1
61,31,681410.1933,247195.4133,62.00264206,0.048412902,24.07244,33.22016,5731.332,26,1.630942562,1
62,31,681416.152,247197.8858,61.94358994,0.051354838,24.48016,32.09808,7555.644,20,1.234191562,1
63,31,681431.8159,247215.1319,63.98022064,0.066580644,24.36928,32.21708,7377.144,22,1.366368674,1
0,32,681403.6477,247349.3622,59.4819548,0.05228387,25.03076,28.06372,2388.776,22,1.63908947,1
1,32,681403.6477,247349.3622,59.4819548,0.05228387,25.03076,28.06372,2388.776,25,1.497422112,1
2,32,681403.6477,247349.3622,59.4819548,0.05228387,25.03076,28.06372,2388.776,30,2.242135991,1
3,32,681403.6477,247349.3622,59.4819548,0.05228387,25.03076,28.06372,2388.776,20,0.75084475,1
4,32,681403.6477,247349.3622,59.4819548,0.05228387,25.03076,28.06372,2388.776,0,0.059197241,0
5,32,681389.3716,247371.3491,61.08367126,0.061883872,25.93488,29.01932,1660.164,23,0.775637304,1
6,32,681378.1725,247393.8786,54.27105255,0.052670967,25.71784,29.317,1717.868,18,0.674148651,1
7,32,681377.2303,247395.5706,56.32520233,0.05336774,25.5284,29.55648,1766.756,0,0.033634212,0
8,32,681368.8107,247405.4623,60.46319641,0.056387096,25.0434,30.11588,2943.96,0,0.048785086,0
9,32,681351.1242,247422.788,62.64561325,0.054838707,24.60208,31.02356,3039.188,0,0.031181433,0
10,32,681339.1616,247445.9372,60.41943344,0.082477419,24.59628,31.22232,1635.884,0,0.031095278,0
11,32,681326.6786,247471.229,60.60944672,0.058890322,24.66696,30.81768,2212.016,4,0.229502698,1
12,32,681311.0819,247492.2528,60.24227463,0.072025807,24.1918,31.4456,5737.648,0,0.031323533,0
13,32,681302.1003,247509.1792,61.40003952,0.087535483,24.10584,31.78748,8736.32,0,0.032729693,0
14,32,681293.4947,247533.5791,63.70858002,0.056,24.07596,31.8104,7106.58,0,0.057489034,0
15,32,681287.2627,247548.3008,58.79930054,0.06216774,24.23056,31.83172,8265.5,0,0.03312431,0
16,32,681281.1127,247555.2031,57.98624405,0.068025805,24.78192,31.03756,9733.436,0,0.039220844,0
17,32,681280.5224,247573.4676,59.79298294,0.058812902,25.08804,30.82224,2759.472,0,0.165139668,0
18,32,681297.9547,247590.2373,58.58606598,0.058967742,24.95888,30.39576,1368.456,0,0.028422786,0
